      Step     Time          Energy          fmax
BFGS:    0 16:49:30    -7851.080506        8.053752
BFGS:    1 16:49:30    -7852.188390        3.226765
BFGS:    2 16:49:30    -7852.354500        4.638427
BFGS:    3 16:49:31    -7852.519509        2.465818
BFGS:    4 16:49:31    -7852.583535        1.182975
BFGS:    5 16:49:31    -7852.602497        1.660739
BFGS:    6 16:49:31    -7852.631939        0.649438
BFGS:    7 16:49:31    -7852.637779        0.181990
BFGS:    8 16:49:31    -7852.638384        0.070388
BFGS:    9 16:49:31    -7852.638444        0.009337
      Step     Time          Energy          fmax
BFGS:    0 16:49:31    -7868.798183        6.430073
BFGS:    1 16:49:32    -7868.980404        9.922331
BFGS:    2 16:49:32    -7869.473519        2.003222
BFGS:    3 16:49:32    -7869.620446        1.276604
BFGS:    4 16:49:32    -7869.716228        0.885633
BFGS:    5 16:49:32    -7869.731448        0.416951
BFGS:    6 16:49:32    -7869.753022        0.524762
BFGS:    7 16:49:32    -7869.768113        0.580910
BFGS:    8 16:49:32    -7869.790717        0.718386
BFGS:    9 16:49:32    -7869.813149        0.591414
BFGS:   10 16:49:32    -7869.830129        0.288596
BFGS:   11 16:49:32    -7869.832807        0.157646
BFGS:   12 16:49:32    -7869.833116        0.181260
BFGS:   13 16:49:32    -7869.833489        0.053713
BFGS:   14 16:49:32    -7869.833561        0.036267
      Step     Time          Energy          fmax
BFGS:    0 16:49:33    -7866.533051       12.424793
BFGS:    1 16:49:33    -7868.830555        6.174071
BFGS:    2 16:49:33    -7869.480839        2.767453
BFGS:    3 16:49:33    -7869.651196        1.439858
BFGS:    4 16:49:33    -7869.693202        0.568141
BFGS:    5 16:49:33    -7869.704760        0.529539
BFGS:    6 16:49:33    -7869.739931        0.693857
BFGS:    7 16:49:33    -7869.757460        0.600877
BFGS:    8 16:49:33    -7869.762953        0.261364
BFGS:    9 16:49:33    -7869.764278        0.101758
BFGS:   10 16:49:33    -7869.764762        0.075455
BFGS:   11 16:49:33    -7869.765079        0.061257
BFGS:   12 16:49:34    -7869.765268        0.056236
BFGS:   13 16:49:34    -7869.765574        0.073271
BFGS:   14 16:49:34    -7869.765982        0.099743
BFGS:   15 16:49:34    -7869.766314        0.084906
BFGS:   16 16:49:34    -7869.766441        0.034787
      Step     Time          Energy          fmax
BFGS:    0 16:49:34    -7882.871784        2.217931
BFGS:    1 16:49:34    -7883.006857        1.400911
BFGS:    2 16:49:34    -7883.099211        0.913366
BFGS:    3 16:49:34    -7883.130787        0.776099
BFGS:    4 16:49:35    -7883.216154        0.863417
BFGS:    5 16:49:35    -7883.178258        2.364906
BFGS:    6 16:49:35    -7883.295297        0.866807
BFGS:    7 16:49:35    -7883.342149        0.866855
BFGS:    8 16:49:35    -7883.503958        2.496369
BFGS:    9 16:49:35    -7883.674066        0.935979
BFGS:   10 16:49:35    -7883.756977        0.991193
BFGS:   11 16:49:35    -7883.831861        0.817523
BFGS:   12 16:49:35    -7883.926869        0.798855
BFGS:   13 16:49:35    -7884.028109        1.009330
BFGS:   14 16:49:35    -7884.053320        0.987834
BFGS:   15 16:49:35    -7884.107766        1.350418
BFGS:   16 16:49:35    -7884.192423        1.737539
BFGS:   17 16:49:35    -7884.315589        1.617981
BFGS:   18 16:49:35    -7884.340851        0.612613
BFGS:   19 16:49:35    -7884.350874        0.647651
BFGS:   20 16:49:35    -7884.361362        0.453441
BFGS:   21 16:49:35    -7884.384333        0.302214
BFGS:   22 16:49:35    -7884.396135        0.266804
BFGS:   23 16:49:35    -7884.406877        0.274841
BFGS:   24 16:49:35    -7884.410378        0.188176
BFGS:   25 16:49:36    -7884.412803        0.223126
BFGS:   26 16:49:36    -7884.414146        0.104436
BFGS:   27 16:49:36    -7884.414909        0.080676
BFGS:   28 16:49:36    -7884.415264        0.056670
BFGS:   29 16:49:36    -7884.415436        0.038592
      Step     Time          Energy          fmax
BFGS:    0 16:49:36    -7902.057423        1.456724
BFGS:    1 16:49:36    -7902.100894        0.739536
BFGS:    2 16:49:36    -7902.123448        0.479649
BFGS:    3 16:49:36    -7902.136408        0.258035
BFGS:    4 16:49:37    -7902.138728        0.200342
BFGS:    5 16:49:37    -7902.143001        0.173406
BFGS:    6 16:49:37    -7902.144423        0.141046
BFGS:    7 16:49:37    -7902.145349        0.078343
BFGS:    8 16:49:37    -7902.145726        0.071278
BFGS:    9 16:49:37    -7902.146258        0.096126
BFGS:   10 16:49:37    -7902.146805        0.106138
BFGS:   11 16:49:37    -7902.147168        0.063062
BFGS:   12 16:49:37    -7902.147340        0.051691
BFGS:   13 16:49:37    -7902.147493        0.052088
BFGS:   14 16:49:37    -7902.147753        0.080237
BFGS:   15 16:49:37    -7902.148221        0.118220
BFGS:   16 16:49:37    -7902.148931        0.128557
BFGS:   17 16:49:37    -7902.149744        0.097224
BFGS:   18 16:49:37    -7902.150384        0.068274
BFGS:   19 16:49:37    -7902.150606        0.044774
      Step     Time          Energy          fmax
BFGS:    0 16:49:38    -5834.476934        2.332906
BFGS:    1 16:49:38    -5834.572227        1.056114
BFGS:    2 16:49:38    -5834.610736        0.572447
BFGS:    3 16:49:38    -5834.638106        0.702248
